gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
COVID19	1.6007816606832597e-190	1.0662193902506185	0.508	0.005	3.269596541945558e-186	C1_Enterocyte_CEACAM7
ACTB	1.3025590933326175e-66	0.5630679908078955	1	0.997	2.6604769481318714e-62	C1_Enterocyte_CEACAM7
TMEM141	4.389321888398133e-66	0.5891205231757295	0.865	0.749	8.965189957053187e-62	C1_Enterocyte_CEACAM7
TNFSF15	5.185858833400733e-58	-0.5591931723579764	0.38	0.593	1.0592116667220996e-53	C1_Enterocyte_CEACAM7
TMEM238	1.0436947776464317e-55	-0.27116322301535933	0.22	0.434	2.131746583342837e-51	C1_Enterocyte_CEACAM7
MT2A	1.6317958122466658e-53	0.7145940211805654	0.315	0.092	3.332942946513815e-49	C1_Enterocyte_CEACAM7
CSTB	1.826742293919368e-52	0.45865812060103694	0.994	0.973	3.731121135330309e-48	C1_Enterocyte_CEACAM7
HN1	1.3514047162083849e-47	0.4667702831159293	0.9	0.831	2.760244132855626e-43	C1_Enterocyte_CEACAM7
FDFT1	6.775097461588803e-46	0.4744773758444314	0.935	0.854	1.383813656529513e-41	C1_Enterocyte_CEACAM7
MPC1	1.8081338558331294e-45	0.4165726643834906	0.819	0.689	3.6931134005391665e-41	C1_Enterocyte_CEACAM7
ACTG1	4.209699888626151e-45	0.44258200981716644	0.998	0.997	8.598312022518913e-41	C1_Enterocyte_CEACAM7
PSAT1	3.2909946960265126e-44	-0.3037269860639364	0.194	0.393	6.721856666634152e-40	C1_Enterocyte_CEACAM7
HIST1H4C	2.4354276924473253e-43	0.3923235747568776	0.759	0.567	4.974361061823662e-39	C1_Enterocyte_CEACAM7
AHCYL2	2.113085735475587e-42	0.3360990222880018	0.685	0.493	4.3159776147088866e-38	C1_Enterocyte_CEACAM7
SLC38A2	1.4703887296696277e-41	-0.4712593931662572	0.577	0.719	3.0032689803502147e-37	C1_Enterocyte_CEACAM7
DSC2	4.553055307133782e-41	-0.3909380375462135	0.916	0.92	9.299615464820749e-37	C1_Enterocyte_CEACAM7
HMGCS1	1.0401410761656179e-40	0.5139881372660187	0.889	0.795	2.1244881480682745e-36	C1_Enterocyte_CEACAM7
MBD2	1.1277798591094826e-40	-0.3194375784102598	0.504	0.639	2.3034903622311182e-36	C1_Enterocyte_CEACAM7
UQCR11	1.8460564520658864e-40	0.3876585955668963	0.914	0.852	3.770570303344573e-36	C1_Enterocyte_CEACAM7
GCNT3	8.011243370000141e-40	-0.29552398693726234	0.956	0.967	1.636296458322529e-35	C1_Enterocyte_CEACAM7
GAPDH	1.296055149525678e-39	0.3887507356195057	0.999	0.996	2.647192642906197e-35	C1_Enterocyte_CEACAM7
G0S2	1.959857440645774e-39	-0.8513754123938154	0.185	0.363	4.0030088225189934e-35	C1_Enterocyte_CEACAM7
COX7C	2.232068717047379e-38	0.3935029831326826	0.985	0.969	4.559000354569272e-34	C1_Enterocyte_CEACAM7
ALDOC	2.3891635975161665e-38	0.3459914317067063	0.721	0.561	4.87986664792677e-34	C1_Enterocyte_CEACAM7
FABP1	5.203647153071942e-38	0.3564804311865917	1	1	1.0628449310149442e-33	C1_Enterocyte_CEACAM7
ABCB1	5.931576687744177e-38	-0.5119741596272123	0.87	0.902	1.211524538471748e-33	C1_Enterocyte_CEACAM7
LAMB3	6.298082154541047e-38	-0.5461599485715922	0.862	0.899	1.2863832800650088e-33	C1_Enterocyte_CEACAM7
UQCRQ	4.867054739136443e-37	0.3956079542072848	0.966	0.928	9.940959304686185e-33	C1_Enterocyte_CEACAM7
DST	1.3017718598284827e-36	-0.42114951039059534	0.963	0.969	2.6588690236996756e-32	C1_Enterocyte_CEACAM7
NDUFA1	1.3777087473120551e-36	0.35952834726810123	0.909	0.827	2.8139701163848724e-32	C1_Enterocyte_CEACAM7
ATP5G3	2.8328812795019854e-35	0.3256314702570866	0.968	0.935	5.786160013382805e-31	C1_Enterocyte_CEACAM7
COPB1	5.267709148165817e-35	-0.5670050848885249	0.764	0.812	1.075929593512868e-30	C1_Enterocyte_CEACAM7
MVD	5.613326862880657e-35	0.3918190031474351	0.831	0.708	1.146522011743374e-30	C1_Enterocyte_CEACAM7
XAF1	7.55956096805451e-35	0.26204755579645667	0.253	0.085	1.5440403277251336e-30	C1_Enterocyte_CEACAM7
ATP5I	1.0808420018282613e-34	0.34062237839905274	0.931	0.861	2.2076197887342238e-30	C1_Enterocyte_CEACAM7
OST4	2.831286889136132e-34	0.3809347855594949	0.838	0.747	5.7829034710605496e-30	C1_Enterocyte_CEACAM7
TMA7	3.2313061493502227e-34	0.3230331661559118	0.909	0.853	6.59994281004783e-30	C1_Enterocyte_CEACAM7
SERF2	3.9707613886601396e-34	0.33204057177584767	0.987	0.956	8.110280136338335e-30	C1_Enterocyte_CEACAM7
ATP5G1	4.724197844179014e-34	0.324326512826145	0.79	0.641	9.649174096735637e-30	C1_Enterocyte_CEACAM7
KTN1	6.903127120448277e-34	-0.2686565211443215	0.967	0.968	1.4099637143515606e-29	C1_Enterocyte_CEACAM7
LGALS4	3.784245997661556e-33	0.3149072419179868	1	0.999	7.729322450223728e-29	C1_Enterocyte_CEACAM7
COX6B1	7.2532003760395e-33	0.32319889777696487	0.938	0.876	1.4814661768060678e-28	C1_Enterocyte_CEACAM7
ENO1	8.084261445255187e-33	0.3411903643771206	0.958	0.906	1.651210400193372e-28	C1_Enterocyte_CEACAM7
ATP5J	1.4315124935182106e-32	0.32269364449557436	0.951	0.902	2.923864268010945e-28	C1_Enterocyte_CEACAM7
TMEM45B	3.8301085530860396e-32	-0.27588234483899177	0.899	0.913	7.822996719678236e-28	C1_Enterocyte_CEACAM7
SLC1A5	7.629612855516086e-32	-0.38238605606323783	0.46	0.602	1.5583484257391606e-27	C1_Enterocyte_CEACAM7
NDUFA4	1.2602845478465256e-31	0.32807235143058233	0.878	0.81	2.5741311889765284e-27	C1_Enterocyte_CEACAM7
ATP5E	4.059976199667454e-31	0.3448545383856936	0.97	0.934	8.292501387820775e-27	C1_Enterocyte_CEACAM7
ACAT2	6.532794336869069e-31	0.3790817243621538	0.818	0.702	1.3343232433055073e-26	C1_Enterocyte_CEACAM7
RPL41	8.361766343890671e-31	0.35618645036673335	0.988	0.977	1.7078907757396694e-26	C1_Enterocyte_CEACAM7
MPRIP	1.1262214887140667e-30	-0.3485915633739801	0.625	0.732	2.3003073906984812e-26	C1_Enterocyte_CEACAM7
DSTN	1.2518115686085506e-30	0.31055562193384034	0.957	0.918	2.5568251288829645e-26	C1_Enterocyte_CEACAM7
NDUFC1	3.212497421654236e-30	0.3004038347888769	0.809	0.71	6.561525983728776e-26	C1_Enterocyte_CEACAM7
C14orf1	3.753002871607945e-30	0.31710587604581986	0.743	0.633	7.665508365259228e-26	C1_Enterocyte_CEACAM7
TXN	3.7913235812119896e-30	0.3170390954236071	0.983	0.951	7.743778414625488e-26	C1_Enterocyte_CEACAM7
INSIG1	5.125190165796196e-30	0.4244002650762728	0.946	0.89	1.0468200913638731e-25	C1_Enterocyte_CEACAM7
PHGR1	5.552212664129081e-30	0.4152380631086441	1	1	1.1340394366483647e-25	C1_Enterocyte_CEACAM7
UQCR10	7.908369543638717e-30	0.32417995180670767	0.924	0.878	1.615284479288208e-25	C1_Enterocyte_CEACAM7
JUND	8.074322467179284e-30	-0.3956591740772586	0.901	0.899	1.6491803639213686e-25	C1_Enterocyte_CEACAM7
MX1	8.164076570385903e-30	0.308838338129225	0.476	0.303	1.6675126395013208e-25	C1_Enterocyte_CEACAM7
MT1E	9.792560852228749e-30	0.3518656484192876	0.306	0.14	2.000130554067722e-25	C1_Enterocyte_CEACAM7
CHCHD10	1.321455312398279e-29	0.32046848451279963	0.914	0.854	2.699072475573485e-25	C1_Enterocyte_CEACAM7
RPS28	1.4868476876827485e-29	0.34002770673253924	0.991	0.981	3.0368864020920137e-25	C1_Enterocyte_CEACAM7
S100A6	4.560636147158403e-29	0.2995359520156491	1	1	9.315099330571037e-25	C1_Enterocyte_CEACAM7
BZW1	1.2005132602676966e-28	0.38011654292131825	0.932	0.89	2.4520483340967704e-24	C1_Enterocyte_CEACAM7
COX7A2	1.729511651449683e-28	0.2931688613942778	0.979	0.96	3.532527548085978e-24	C1_Enterocyte_CEACAM7
USMG5	1.9752469230325013e-28	0.32065506255353693	0.929	0.862	4.0344418402938836e-24	C1_Enterocyte_CEACAM7
ANKRD37	2.454890862659726e-28	0.35197265220667806	0.641	0.471	5.01411458698249e-24	C1_Enterocyte_CEACAM7
NEAT1	2.860262599244427e-28	-0.40606389961668476	0.997	0.997	5.842086358956743e-24	C1_Enterocyte_CEACAM7
ATP5J2	3.19936589566478e-28	0.32129857680067864	0.885	0.814	6.5347048418953135e-24	C1_Enterocyte_CEACAM7
MT-CYB	5.978438726610218e-28	-0.43945641756389353	0.999	1	1.2210961099101372e-23	C1_Enterocyte_CEACAM7
ATP5D	1.4336002161429043e-27	0.2852353223498927	0.951	0.912	2.928128441471882e-23	C1_Enterocyte_CEACAM7
ACSS2	1.8944149745912545e-27	0.27524830775604925	0.922	0.862	3.8693425856026374e-23	C1_Enterocyte_CEACAM7
TMEM256	2.996086011029054e-27	0.3358720534553885	0.737	0.63	6.119505677526843e-23	C1_Enterocyte_CEACAM7
HINT1	3.640513772053359e-27	0.31520144365889324	0.962	0.932	7.435749379418985e-23	C1_Enterocyte_CEACAM7
TMSB10	8.144306902767304e-27	0.3155216139987349	1	1	1.6634746848902218e-22	C1_Enterocyte_CEACAM7
ATP5O	8.164270332736675e-27	0.2942970008209089	0.834	0.753	1.667552215461466e-22	C1_Enterocyte_CEACAM7
CYB5A	8.724186086211491e-27	0.2791105345301612	0.802	0.719	1.781915008108697e-22	C1_Enterocyte_CEACAM7
PRDX2	1.5300057152088043e-26	0.2885763561623145	0.901	0.831	3.125036673313983e-22	C1_Enterocyte_CEACAM7
ERBB2IP	1.8836852684753083e-26	-0.3366878122913459	0.87	0.891	3.847427160860817e-22	C1_Enterocyte_CEACAM7
RPLP2	2.0522554082486563e-26	0.32607585307653064	0.99	0.971	4.1917316713478804e-22	C1_Enterocyte_CEACAM7
SPTBN1	2.762961420936833e-26	-0.27948167380019573	0.931	0.939	5.643348702263482e-22	C1_Enterocyte_CEACAM7
RPL35A	2.837443142283071e-26	0.33663905689706297	0.974	0.937	5.795477618113172e-22	C1_Enterocyte_CEACAM7
AKR7A3	4.402753718289394e-26	0.30140296434780256	0.713	0.588	8.992624469606088e-22	C1_Enterocyte_CEACAM7
NDUFB3	5.668622882258636e-26	0.26138291707472683	0.807	0.702	1.1578162237013265e-21	C1_Enterocyte_CEACAM7
S100A16	1.1473157647142343e-25	0.3274795290525696	0.892	0.827	2.3433924494288236e-21	C1_Enterocyte_CEACAM7
DDX5	1.4628507194164104e-25	-0.26439974670919586	0.93	0.953	2.9878725944080183e-21	C1_Enterocyte_CEACAM7
SOD1	1.471434415159984e-25	0.27081953868611963	0.927	0.87	3.0054047929642673e-21	C1_Enterocyte_CEACAM7
