gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
COVID19	4.78979078589488e-102	4.401844662659824	0.706	0	1.0147650758996893e-97	C1_Immature enterocyte_CA4
MX1	9.295609088149857e-54	1.6412940991939962	0.736	0.414	1.9693677414154285e-49	C1_Immature enterocyte_CA4
ISG15	3.422525412556601e-47	1.8162880150366651	0.934	0.844	7.250962339042415e-43	C1_Immature enterocyte_CA4
XAF1	2.446070029155168e-46	1.4409693512208936	0.59	0.211	5.182243963768139e-42	C1_Immature enterocyte_CA4
IFIT1	2.1085861837864412e-44	1.6660183559591506	0.633	0.315	4.4672506889699545e-40	C1_Immature enterocyte_CA4
TMEM238	3.628088029123349e-44	0.6581271585438699	0.594	0.253	7.686467298500728e-40	C1_Immature enterocyte_CA4
MALAT1	1.4338736470772018e-40	0.8458526315585733	1	1	3.03780470869776e-36	C1_Immature enterocyte_CA4
MX2	5.606536485169153e-40	1.2457680013081922	0.448	0.081	1.1878008197479366e-35	C1_Immature enterocyte_CA4
EPSTI1	5.729864162480061e-35	0.987073294075844	0.666	0.432	1.2139290214630256e-30	C1_Immature enterocyte_CA4
CXCL10	2.3313401402061397e-34	1.58071397966584	0.355	0.029	4.9391772210407274e-30	C1_Immature enterocyte_CA4
JUN	2.244551507867588e-33	1.9338432532424854	0.909	0.81	4.755306824568272e-29	C1_Immature enterocyte_CA4
IFIT2	6.521015634856984e-33	2.3245900069474867	0.595	0.344	1.3815423724008006e-28	C1_Immature enterocyte_CA4
IFIT3	3.6470251471349417e-31	1.772225299502968	0.644	0.445	7.726587476720087e-27	C1_Immature enterocyte_CA4
RNF213	1.5145191894451441e-30	1.6432768285806514	0.902	0.854	3.2086603547584825e-26	C1_Immature enterocyte_CA4
OASL	1.5576482336717906e-30	1.0142091959840684	0.285	0.003	3.300033547857056e-26	C1_Immature enterocyte_CA4
IFI6	5.059558131207818e-30	1.197513981980555	0.595	0.323	1.0719179856776882e-25	C1_Immature enterocyte_CA4
RSAD2	1.0630127370864834e-28	1.1100250348341947	0.341	0.055	2.2520987847914237e-24	C1_Immature enterocyte_CA4
OAS2	5.676636943791288e-27	0.5926476794349236	0.284	0.021	1.2026523029116224e-22	C1_Immature enterocyte_CA4
HERC5	5.865316074127163e-27	1.4792846703792761	0.322	0.052	1.2426258634645806e-22	C1_Immature enterocyte_CA4
PARP14	1.4744192713519972e-26	1.1858769338396133	0.82	0.784	3.123704668286341e-22	C1_Immature enterocyte_CA4
USP18	6.034441099661464e-26	0.6504703594192943	0.429	0.161	1.2784566913742778e-21	C1_Immature enterocyte_CA4
HPGD	3.474136924737183e-25	-0.6891783197009285	0.793	0.935	7.360306488748196e-21	C1_Immature enterocyte_CA4
