gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
HLA-DRB5	0	1.8769534517975186	0.864	0.392	0	C6_Naive_B_IGHD
HBB	0	3.944175699464653	0.689	0.008	0	C6_Naive_B_IGHD
RPS4Y1	0	-1.8957611326527894	0.179	0.949	0	C6_Naive_B_IGHD
MT-CO1	0	-0.8269488414861081	0.998	1	0	C6_Naive_B_IGHD
MT-ATP8	0	-1.4453265223550629	0.873	0.98	0	C6_Naive_B_IGHD
EIF1	3.450609931828618e-272	0.7790746804894262	0.998	0.996	6.881551387045812e-268	C6_Naive_B_IGHD
MT-ND4	1.3298170210259714e-261	-0.9025329270769364	0.931	0.987	2.652054085032095e-257	C6_Naive_B_IGHD
MT-ND3	1.3117382300763198e-237	-0.846081936052177	0.981	0.996	2.6159995522412047e-233	C6_Naive_B_IGHD
TSC22D3	8.815425238087241e-234	0.93162680724748	1	0.992	1.7580602552317382e-229	C6_Naive_B_IGHD
MT-ND1	4.812947901931427e-183	-0.6763716234600898	0.959	0.993	9.598462000821846e-179	C6_Naive_B_IGHD
MT-ND2	4.0432991915652715e-178	-0.7619388589370528	0.929	0.978	8.063551577738621e-174	C6_Naive_B_IGHD
RPS29	8.80399516399606e-171	-0.6385724013022731	0.983	0.992	1.7557807555557343e-166	C6_Naive_B_IGHD
EIF1AY	1.4799023485399633e-161	-0.8800664136273332	0.067	0.417	2.951369253693249e-157	C6_Naive_B_IGHD
YPEL5	5.344771221088236e-161	1.07279048517389	0.825	0.595	1.0659077246216269e-156	C6_Naive_B_IGHD
PPP1R15A	8.282495796831042e-154	0.857307216176685	0.929	0.816	1.6517781367620147e-149	C6_Naive_B_IGHD
ACTG1	2.7595891835173e-150	-0.8585632802354919	0.665	0.895	5.503448708688551e-146	C6_Naive_B_IGHD
NFKBIA	1.4819818840104256e-149	1.044018072814068	0.893	0.734	2.955516471281992e-145	C6_Naive_B_IGHD
MT-CO3	8.12264361459184e-148	-0.42136148633343673	0.998	0.999	1.6198988160580505e-143	C6_Naive_B_IGHD
MT-ATP6	1.0070700025288474e-138	-0.5501057993376195	0.965	0.994	2.0083997060432804e-134	C6_Naive_B_IGHD
CD52	8.026543999159849e-137	-0.5091320859653532	0.977	0.993	1.6007336697524487e-132	C6_Naive_B_IGHD
AREG	5.476493721816069e-136	1.3171356646936592	0.573	0.245	1.0921771429417787e-131	C6_Naive_B_IGHD
SNX9	3.6950049430181804e-129	1.1096333015862259	0.61	0.315	7.368948357861157e-125	C6_Naive_B_IGHD
