gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
ATP5L	4.341565442134076e-255	-3.040641113085813	0	1	1.159154557395377e-250	C5_Epithelial_Basal_ITGB4
ATP5E	4.341572858191018e-255	-3.574512292935119	0	1	1.1591565374084199e-250	C5_Epithelial_Basal_ITGB4
OAZ1	4.341574094201913e-255	-3.102568248353822	0	1	1.1591568674109687e-250	C5_Epithelial_Basal_ITGB4
UQCR11	4.341579038249013e-255	-2.985529092636622	0	1	1.1591581874221041e-250	C5_Epithelial_Basal_ITGB4
RPS10	4.341581510275726e-255	-4.557666192457587	0	1	1.1591588474285161e-250	C5_Epithelial_Basal_ITGB4
ALDOA	4.3415827462880325e-255	-3.4969408784618925	0	1	1.1591591774314418e-250	C5_Epithelial_Basal_ITGB4
RPL36A	4.341588926360092e-255	-4.4591342064283745	0	1	1.1591608274488809e-250	C5_Epithelial_Basal_ITGB4
GNB2L1	4.341591398391377e-255	-4.858371310342216	0	1	1.1591614874565136e-250	C5_Epithelial_Basal_ITGB4
RPL26	4.341597578474689e-255	-5.639577195355633	0	1	1.1591631374769572e-250	C5_Epithelial_Basal_ITGB4
RPL39	4.667913732363599e-255	-5.4816770571281745	0.004	1	1.2462862874037571e-250	C5_Epithelial_Basal_ITGB4
RPL18A	4.692426656212691e-255	-5.55721631404344	0.004	1	1.2528309929422264e-250	C5_Epithelial_Basal_ITGB4
RPS17	4.963667648288121e-255	-5.523063976611077	0.008	1	1.3252496254164454e-250	C5_Epithelial_Basal_ITGB4
RPS15A	5.01591500830047e-255	-5.487652539630046	0.008	1	1.3391991480661426e-250	C5_Epithelial_Basal_ITGB4
RPL9	5.558677611358951e-255	-5.13003799480865	0.012	1	1.484111335456726e-250	C5_Epithelial_Basal_ITGB4
RPS27	7.413225409513303e-255	-5.876155263076394	0.031	1	1.9792570520859568e-250	C5_Epithelial_Basal_ITGB4
COX8A	7.939522199581205e-255	-2.867105244365785	0	0.999	2.119773032066186e-250	C5_Epithelial_Basal_ITGB4
TCEB2	7.939528973908102e-255	-2.8447349361189014	0	0.999	2.119774840743724e-250	C5_Epithelial_Basal_ITGB4
RPL17	7.939538006355515e-255	-3.6264387167144085	0	0.999	2.119777252316859e-250	C5_Epithelial_Basal_ITGB4
RPS13	8.683726847488228e-255	-4.863193404134619	0.025	1	2.318468231010882e-250	C5_Epithelial_Basal_ITGB4
RPL21	8.718179826012276e-255	-5.184442376325498	0.039	1	2.3276668317470174e-250	C5_Epithelial_Basal_ITGB4
RPS14	1.0574764533541887e-254	-5.241201345783545	0.049	1	2.8233563828103486e-250	C5_Epithelial_Basal_ITGB4
FAU	1.0789285762382895e-254	-3.93190859861641	0.025	1	2.880631405698609e-250	C5_Epithelial_Basal_ITGB4
RPL34	1.10362933682781e-254	-5.289666143463141	0.047	1	2.94657996639657e-250	C5_Epithelial_Basal_ITGB4
RPL12	1.1080336752161758e-254	-5.028875060511033	0.043	1	2.958339109459668e-250	C5_Epithelial_Basal_ITGB4
RPS18	1.2549184210051008e-254	-5.709962042546115	0.066	1	3.350506692241519e-250	C5_Epithelial_Basal_ITGB4
RPL32	1.3176564846428083e-254	-5.0588981996428215	0.057	1	3.5180110483478336e-250	C5_Epithelial_Basal_ITGB4
RPS28	1.3520739750104838e-254	-5.010950168553261	0.049	1	3.609902305880491e-250	C5_Epithelial_Basal_ITGB4
RPS4X	1.4396165850464749e-254	-4.991731203418404	0.049	1	3.843632320415583e-250	C5_Epithelial_Basal_ITGB4
ATP5G2	1.4513132201676584e-254	-2.7090383132680658	0	0.999	3.874861166525631e-250	C5_Epithelial_Basal_ITGB4
GLTSCR2	1.4513136325374382e-254	-2.921539637987062	0	0.999	3.874862267511706e-250	C5_Epithelial_Basal_ITGB4
ATP5D	1.4513140449073356e-254	-2.4905143314376055	0	0.999	3.874863368498095e-250	C5_Epithelial_Basal_ITGB4
CTSD	1.4513173438710795e-254	-3.101872312332899	0	0.999	3.874872176401395e-250	C5_Epithelial_Basal_ITGB4
RPS25	1.4549693842507278e-254	-4.641271320591257	0.041	1	3.884622759011018e-250	C5_Epithelial_Basal_ITGB4
RPS26	1.611200951406782e-254	-3.9550951604279794	0.008	1	4.3017454201609675e-250	C5_Epithelial_Basal_ITGB4
RPS3A	1.717994865090617e-254	-4.713184019294443	0.045	1	4.5868744903054386e-250	C5_Epithelial_Basal_ITGB4
RPL35A	1.7657571475667893e-254	-4.369800573975411	0.057	1	4.714395008288571e-250	C5_Epithelial_Basal_ITGB4
RPLP2	2.1511141195280558e-254	-5.035215111911267	0.055	1	5.743259587727956e-250	C5_Epithelial_Basal_ITGB4
RPL10	2.1652958062547568e-254	-5.396322597646606	0.064	1	5.781123273119575e-250	C5_Epithelial_Basal_ITGB4
FTH1	2.231379695145138e-254	-5.111708486514393	0.082	1	5.957560648068004e-250	C5_Epithelial_Basal_ITGB4
RPS21	2.3572646854087136e-254	-4.406925425062589	0.021	1	6.293660983572725e-250	C5_Epithelial_Basal_ITGB4
RPLP1	2.375297332546419e-254	-5.667137741944835	0.103	1	6.341806348165684e-250	C5_Epithelial_Basal_ITGB4
GPX1	2.6518319371747117e-254	-2.9119799704649196	0	0.998	7.080126089062762e-250	C5_Epithelial_Basal_ITGB4
RPL24	2.715498375405827e-254	-4.2218153326194106	0.018	1	7.250109112496017e-250	C5_Epithelial_Basal_ITGB4
RPS16	2.78755842676571e-254	-4.646833621825116	0.062	1	7.442502243621769e-250	C5_Epithelial_Basal_ITGB4
RPL3	2.859735185020728e-254	-5.071194495773148	0.082	1	7.635206970486842e-250	C5_Epithelial_Basal_ITGB4
RPL23A	2.9084137314208985e-254	-4.801357673746247	0.057	1	7.765173821520657e-250	C5_Epithelial_Basal_ITGB4
RPL7A	3.0013992153776065e-254	-4.591485632671566	0.053	1	8.013435765136672e-250	C5_Epithelial_Basal_ITGB4
RPS23	3.2291425114025066e-254	-4.508567075630547	0.064	1	8.621487591193553e-250	C5_Epithelial_Basal_ITGB4
RPL8	3.249877985737851e-254	-4.7101915663740535	0.068	1	8.676849234121489e-250	C5_Epithelial_Basal_ITGB4
RPL41	3.2893387226453136e-254	-5.007532190302658	0.14	1	8.782205455590723e-250	C5_Epithelial_Basal_ITGB4
RPS8	3.3701872139669864e-254	-4.69846524732348	0.103	1	8.998062842570457e-250	C5_Epithelial_Basal_ITGB4
RPS6	3.489981692883782e-254	-4.919935583735466	0.088	1	9.31790212183041e-250	C5_Epithelial_Basal_ITGB4
RPS27A	3.539117453582362e-254	-4.254344017122226	0.097	1	9.449089689319549e-250	C5_Epithelial_Basal_ITGB4
RPL7	3.900840330395785e-254	-4.678071523535065	0.049	1	1.0414853598123706e-249	C5_Epithelial_Basal_ITGB4
RPL37	4.186699005690665e-254	-4.391401810735498	0.068	1	1.1178067675293507e-249	C5_Epithelial_Basal_ITGB4
RPL37A	4.405440919269903e-254	-4.402563537132191	0.15	1	1.1762086710358716e-249	C5_Epithelial_Basal_ITGB4
COX6A1	4.843389896094364e-254	-2.548085267231816	0	0.998	1.2931366683582341e-249	C5_Epithelial_Basal_ITGB4
OST4	4.8434022575179235e-254	-2.406379492022823	0	0.998	1.2931399687347104e-249	C5_Epithelial_Basal_ITGB4
RPS15	5.361714377012868e-254	-4.129855199436017	0.088	1	1.4315241215186656e-249	C5_Epithelial_Basal_ITGB4
RPL10A	5.6232921466471026e-254	-4.310291515103984	0.068	1	1.50136277023331e-249	C5_Epithelial_Basal_ITGB4
RPL38	5.807701076415981e-254	-4.0406437704332	0.043	1	1.5505981103923028e-249	C5_Epithelial_Basal_ITGB4
RPS20	5.9934650326664265e-254	-4.262790801412133	0.062	0.999	1.6001952290716092e-249	C5_Epithelial_Basal_ITGB4
RPL11	6.0858884548353684e-254	-4.460521765823701	0.074	1	1.624871358556495e-249	C5_Epithelial_Basal_ITGB4
EEF1A1	6.5123378087989915e-254	-5.4195153101906595	0.177	1	1.7387290715712428e-249	C5_Epithelial_Basal_ITGB4
RPL31	6.86217393727033e-254	-4.394341362978857	0.074	1	1.8321318195118056e-249	C5_Epithelial_Basal_ITGB4
MT1X	8.692020162560775e-254	-5.404000742401005	0.021	1	2.3206824632021015e-249	C5_Epithelial_Basal_ITGB4
RPL36	8.97670953681055e-254	-4.098047981233001	0.078	1	2.3966916792330485e-249	C5_Epithelial_Basal_ITGB4
RPS12	9.797699686098554e-254	-4.623362612173373	0.138	1	2.615887839191453e-249	C5_Epithelial_Basal_ITGB4
RPS2	9.93438937889048e-254	-4.584676214182881	0.105	1	2.6523826202699694e-249	C5_Epithelial_Basal_ITGB4
RPL6	1.0049985122869258e-253	-4.259827212046367	0.049	1	2.683245527954863e-249	C5_Epithelial_Basal_ITGB4
RPL13A	1.0993647799290656e-253	-4.758247947256834	0.183	1	2.9351940259326122e-249	C5_Epithelial_Basal_ITGB4
RPS7	1.1855826742990713e-253	-4.250317739713472	0.029	1	3.1653871821110907e-249	C5_Epithelial_Basal_ITGB4
RPS5	1.3938764202698136e-253	-4.433495263301335	0.047	1	3.721510654478375e-249	C5_Epithelial_Basal_ITGB4
RPL35	1.4114456304137703e-253	-3.8622031630546747	0.103	1	3.7684186886417256e-249	C5_Epithelial_Basal_ITGB4
TPT1	1.5000966728827982e-253	-4.506703639174357	0.193	1	4.005108106929783e-249	C5_Epithelial_Basal_ITGB4
RPL15	1.5543842624583458e-253	-4.298477908836523	0.103	1	4.1500505423375377e-249	C5_Epithelial_Basal_ITGB4
MT1E	1.600040287603125e-253	-5.1866625635710655	0.012	1	4.271947563871583e-249	C5_Epithelial_Basal_ITGB4
C14orf2	1.613676166850451e-253	-2.3473585530530303	0	0.997	4.308353997874019e-249	C5_Epithelial_Basal_ITGB4
RPL28	2.1888354631829446e-253	-3.916463430930915	0.15	1	5.843971803152144e-249	C5_Epithelial_Basal_ITGB4
RPL30	5.56820737123466e-253	-4.106195122939673	0.076	1	1.4866556860459418e-248	C5_Epithelial_Basal_ITGB4
RPS29	5.855840897438929e-253	-4.613974371235684	0.047	1	1.5634509612072196e-248	C5_Epithelial_Basal_ITGB4
RPL14	6.369938340253857e-253	-4.023286604920071	0.086	1	1.7007098374643772e-248	C5_Epithelial_Basal_ITGB4
RPL13	7.462169007350585e-253	-4.096916407191536	0.209	1	1.9923245032725326e-248	C5_Epithelial_Basal_ITGB4
RPL23	7.903458926182937e-253	-3.988470440647644	0.057	1	2.1101444987015822e-248	C5_Epithelial_Basal_ITGB4
RPS19	9.085398218486179e-253	-4.073347704883158	0.16	1	2.4257104703536247e-248	C5_Epithelial_Basal_ITGB4
ATP5I	9.782648560026865e-253	-2.4494314198780653	0	0.995	2.6118693390415725e-248	C5_Epithelial_Basal_ITGB4
RPS9	1.1443672740149995e-252	-3.9912217811979227	0.127	1	3.0553461848926475e-248	C5_Epithelial_Basal_ITGB4
HIGD2A	1.7822744717240358e-252	-2.1726746872183527	0	0.995	4.758494612056003e-248	C5_Epithelial_Basal_ITGB4
RPS24	2.37923841949781e-252	-3.8871617202378417	0.123	1	6.352328656217203e-248	C5_Epithelial_Basal_ITGB4
RPL22	3.082400305954404e-252	-3.8843902560709602	0.033	1	8.229700576867664e-248	C5_Epithelial_Basal_ITGB4
RPL27A	8.158112725523838e-252	-4.166863772415495	0.121	1	2.1781345165876096e-247	C5_Epithelial_Basal_ITGB4
USMG5	3.555154847624767e-251	-2.2496345987260606	0	0.992	9.491907927673365e-247	C5_Epithelial_Basal_ITGB4
MT2A	3.62479861169409e-251	-5.454653104163918	0.049	1	9.677849813362051e-247	C5_Epithelial_Basal_ITGB4
RPL18	6.4468666005621455e-251	-4.01811384762755	0.078	1	1.7212489136840872e-246	C5_Epithelial_Basal_ITGB4
ATP5G3	6.460897308457946e-251	-2.1772120255777185	0	0.991	1.7249949723851871e-246	C5_Epithelial_Basal_ITGB4
