gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
AP006565.1	3.3883303477089013e-39	3.186408085652184	0.56	0.026	8.466421039820232e-35	C3_PV interneuron_ZNF804A
USP9Y	3.5929134343502946e-34	1.4773485945171874	0.24	0.001	8.977612798411082e-30	C3_PV interneuron_ZNF804A
SLC27A6	2.5445979354625963e-23	6.61065614106005	0.92	0.232	6.3581868613403895e-19	C3_PV interneuron_ZNF804A
SLC26A3	7.636015169042564e-22	7.676543953454139	1	0.378	1.9080111102886653e-17	C3_PV interneuron_ZNF804A
HSPA1B	7.669060832709955e-21	2.8864974945090522	0.48	0.046	1.9162682302692366e-16	C3_PV interneuron_ZNF804A
LINC01609	1.9932763780611128e-20	2.5262251472614747	0.4	0.03	4.980599685861303e-16	C3_PV interneuron_ZNF804A
SLC30A10	2.656718291666463e-20	3.7458222187657455	0.76	0.154	6.638341995386991e-16	C3_PV interneuron_ZNF804A
LINGO1	1.3903151864332842e-19	6.197978374549664	1	0.494	3.4739805563408474e-15	C3_PV interneuron_ZNF804A
MIB1	7.086460695598732e-19	5.732144457504648	1	0.546	1.7706939340092552e-14	C3_PV interneuron_ZNF804A
RASGEF1B	2.9798575511956997e-18	7.983797480209951	1	0.628	7.445770063172695e-14	C3_PV interneuron_ZNF804A
INO80D	8.319113452784485e-15	7.078236877975822	0.92	0.555	2.0786968784472592e-10	C3_PV interneuron_ZNF804A
TTTY14	1.203261407701545e-13	0.7670682791510112	0.16	0.006	3.0065892794238503e-9	C3_PV interneuron_ZNF804A
MT-ND1	3.077123208760607e-13	3.930863201369546	0.92	0.658	7.688807761730128e-9	C3_PV interneuron_ZNF804A
HSPB1	8.062840587049223e-13	3.0352926373040363	0.4	0.055	2.0146619774859893e-8	C3_PV interneuron_ZNF804A
GREM1	2.690239363331905e-12	2.1438064369182763	0.28	0.026	6.72210109715743e-8	C3_PV interneuron_ZNF804A
SERPINH1	4.369753412715572e-12	1.3472042073448456	0.16	0.007	1.09187028523524e-7	C3_PV interneuron_ZNF804A
SLFN11	4.369753412715572e-12	1.0311225773238282	0.16	0.007	1.09187028523524e-7	C3_PV interneuron_ZNF804A
XIST	4.516770748940075e-12	-3.969988499578721	0	0.809	1.1286055070376565e-7	C3_PV interneuron_ZNF804A
CCSER1	4.6087793393612405e-12	-4.085397796013365	0.08	0.826	1.1515956935261932e-7	C3_PV interneuron_ZNF804A
BCOR	1.0162313757360544e-11	3.2290096190259754	0.6	0.162	2.539257338551679e-7	C3_PV interneuron_ZNF804A
MT-ATP6	1.6168645958730917e-11	3.199771398339049	1	0.795	4.0400595657080944e-7	C3_PV interneuron_ZNF804A
ADGRL3	3.405221379412272e-11	-3.157888884332053	0.24	0.844	8.508626660737445e-7	C3_PV interneuron_ZNF804A
BAG3	3.629402705988499e-11	1.72438601174108	0.2	0.014	9.068788541453463e-7	C3_PV interneuron_ZNF804A
PLCB1	4.050940370920013e-11	-3.2213897698820393	0.16	0.828	1.0122084704817837e-6	C3_PV interneuron_ZNF804A
NRG3	5.119097197008729e-11	-2.7699049907157605	0.32	0.878	1.2791088166165711e-6	C3_PV interneuron_ZNF804A
CNTNAP2	5.176968997759023e-11	-3.5111329766578794	0.32	0.891	1.293569243470047e-6	C3_PV interneuron_ZNF804A
HSP90AA1	6.083161831851418e-11	4.540234738229381	0.84	0.538	1.5199996469247137e-6	C3_PV interneuron_ZNF804A
OXR1	6.950650006097107e-11	-3.506345024100848	0.16	0.802	1.736758917023484e-6	C3_PV interneuron_ZNF804A
MT-ND2	8.500781514656199e-11	3.943658362030748	0.88	0.696	2.1240902770671446e-6	C3_PV interneuron_ZNF804A
ROBO2	1.0799561047260352e-10	-4.679586292659408	0.08	0.806	2.6984863188789443e-6	C3_PV interneuron_ZNF804A
DLGAP1	2.4250766852063156e-10	-3.0193326689935605	0.32	0.856	6.059539113325021e-6	C3_PV interneuron_ZNF804A
EIF4G3	2.433122575204184e-10	-2.557569994729479	0.08	0.759	6.0796433786626955e-6	C3_PV interneuron_ZNF804A
TENM2	3.6598226115243537e-10	-3.2438206300659833	0.16	0.819	9.144798759415902e-6	C3_PV interneuron_ZNF804A
UNC80	4.3170594485031725e-10	-2.192463412868896	0.08	0.752	1.0787036443974878e-5	C3_PV interneuron_ZNF804A
PPFIA2	4.959751830244291e-10	-2.760167264531339	0.08	0.809	1.239293189823141e-5	C3_PV interneuron_ZNF804A
REV3L	5.02168819123975e-10	-2.1253288764338905	0	0.721	1.2547692283450765e-5	C3_PV interneuron_ZNF804A
ABLIM1	5.02168819123975e-10	-2.0584161830998906	0	0.721	1.2547692283450765e-5	C3_PV interneuron_ZNF804A
TARBP1	7.060257539216136e-10	-2.0034700142922905	0	0.714	1.764146551323936e-5	C3_PV interneuron_ZNF804A
NAV3	7.493699241524617e-10	-2.8317919270911487	0.24	0.83	1.872450629479756e-5	C3_PV interneuron_ZNF804A
ASTN2	8.082405665795712e-10	-3.401664277513228	0	0.711	2.0195507037123746e-5	C3_PV interneuron_ZNF804A
LRRFIP1	8.645711455890823e-10	-2.0785467784537617	0	0.71	2.16030392148344e-5	C3_PV interneuron_ZNF804A
GABRB1	9.681306155135381e-10	-2.8593679784026476	0.16	0.763	2.4190679689836776e-5	C3_PV interneuron_ZNF804A
AIG1	1.0572630915394216e-9	-2.151913385184699	0	0.705	2.6417832868295528e-5	C3_PV interneuron_ZNF804A
FAF1	1.0988157794649527e-09	-2.1707736327676863	0.08	0.737	2.745610988149077e-5	C3_PV interneuron_ZNF804A
FGF12	1.12201553660811e-9	-2.859123295299391	0.32	0.817	2.8035802213226842e-5	C3_PV interneuron_ZNF804A
LRFN5	1.1890317434646579e-9	-2.918712115352457	0.08	0.733	2.9710336173951407e-5	C3_PV interneuron_ZNF804A
PTPRD	1.5529311826594727e-9	-3.124903536391375	0.24	0.88	3.8803091461112244e-5	C3_PV interneuron_ZNF804A
ADCY2	1.574574565788325e-9	-2.8210026020760197	0	0.697	3.934389467535288e-5	C3_PV interneuron_ZNF804A
FAM155A	1.7640974045488158e-9	-2.4379350395695583	0.24	0.864	4.407950184746126e-5	C3_PV interneuron_ZNF804A
NRXN3	1.9125579771338055e-9	-2.415739386572332	0.32	0.893	4.77890861746424e-5	C3_PV interneuron_ZNF804A
ARNT2	2.047247870773521e-9	-2.368641156948103	0	0.692	5.1154582547017974e-5	C3_PV interneuron_ZNF804A
KCNC2	2.1408416341549334e-9	-3.02699411829208	0.08	0.751	5.349320991262932e-5	C3_PV interneuron_ZNF804A
EXT1	2.4888025173687103e-9	-2.3275224678431377	0	0.687	6.218770850149196e-5	C3_PV interneuron_ZNF804A
SYT1	2.6471938094727824e-9	-2.3039683677076535	0.32	0.895	6.614543171729642e-5	C3_PV interneuron_ZNF804A
GRM7	2.655423229430232e-9	-2.788213142970654	0	0.686	6.63510602337732e-5	C3_PV interneuron_ZNF804A
ANKS1B	2.6592615038353857e-9	-2.254334559669244	0.36	0.871	6.644696719633479e-5	C3_PV interneuron_ZNF804A
NLGN1	3.0717546636850714e-9	-2.669023776277629	0.16	0.812	7.675393378149888e-5	C3_PV interneuron_ZNF804A
TRIM9	3.492237000129535e-9	-2.1489702468243843	0.08	0.794	8.72605259222367e-5	C3_PV interneuron_ZNF804A
ST6GALNAC5	3.905159555110759e-9	-3.179780477004825	0	0.678	9.757822180355254e-5	C3_PV interneuron_ZNF804A
MARK1	4.435666154158241e-9	-1.9529449277818596	0	0.675	1.1083399019395198e-4	C3_PV interneuron_ZNF804A
PHF20L1	4.435667328139517e-9	-1.7774725819691284	0	0.675	1.1083401952822211e-4	C3_PV interneuron_ZNF804A
AHI1	4.614297281105733e-9	-2.1499400543732134	0.16	0.781	1.1529744616298895e-4	C3_PV interneuron_ZNF804A
DAAM1	4.726318296972946e-9	-1.855493969461186	0	0.674	1.18096515286463e-4	C3_PV interneuron_ZNF804A
PCDH11Y	5.180222914604916e-9	2.100468880842315	0.4	0.084	1.2943822996723303e-4	C3_PV interneuron_ZNF804A
BIRC6	5.189538541608971e-9	-1.8833761355156584	0.08	0.712	1.2967099953918338e-4	C3_PV interneuron_ZNF804A
MAN1A2	5.363648820357681e-9	-1.954553617732157	0	0.671	1.3402149307427735e-4	C3_PV interneuron_ZNF804A
GRIK2	5.567144399740422e-9	-3.1891971158224255	0.24	0.812	1.3910623711631392e-4	C3_PV interneuron_ZNF804A
EPB41L3	5.712589319122286e-9	-1.986124740879778	0	0.669	1.4274046931690856e-4	C3_PV interneuron_ZNF804A
