gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
HSPB7	0	1.4920979203750502	0.132	0.007	0	C1_Vascular endothelial_DOCK9
HSPG2	0	-0.8905499344743597	0.41	0.606	0	C1_Vascular endothelial_DOCK9
ST3GAL3	0	-1.4540438739930714	0.003	0.207	0	C1_Vascular endothelial_DOCK9
PIK3R3	0	-2.903376604976656	0.091	0.487	0	C1_Vascular endothelial_DOCK9
AC119674.1	0	-1.7076659101394025	0.005	0.22	0	C1_Vascular endothelial_DOCK9
JAK1	0	-0.8967623244519365	0.231	0.434	0	C1_Vascular endothelial_DOCK9
ST6GALNAC3	0	0.9119398953030204	0.859	0.704	0	C1_Vascular endothelial_DOCK9
LRRC8D	0	-0.9836534881388372	0.006	0.132	0	C1_Vascular endothelial_DOCK9
SLC35A3	0	-0.897112895970798	0	0.115	0	C1_Vascular endothelial_DOCK9
FP700111.1	0	1.3033728765671206	0.177	0.007	0	C1_Vascular endothelial_DOCK9
TXNIP	0	2.008827840791515	0.446	0.101	0	C1_Vascular endothelial_DOCK9
RASAL2	0	-0.6613666934887199	0.579	0.751	0	C1_Vascular endothelial_DOCK9
TROVE2	0	0.9738276529403302	0.13	0	0	C1_Vascular endothelial_DOCK9
DISP1	0	-1.83571610710614	0.019	0.25	0	C1_Vascular endothelial_DOCK9
TPO	0	1.3409602214635274	0.362	0.141	0	C1_Vascular endothelial_DOCK9
LINC00486	0	3.900433485873383	0.62	0.004	0	C1_Vascular endothelial_DOCK9
LINC01317	0	1.5410286124687713	0.143	0	0	C1_Vascular endothelial_DOCK9
LINC01320	0	-1.3693604172835878	0.003	0.129	0	C1_Vascular endothelial_DOCK9
AC007388.1	0	1.334530510176228	0.173	0	0	C1_Vascular endothelial_DOCK9
ASB3	0	-1.281621988842686	0.012	0.197	0	C1_Vascular endothelial_DOCK9
TMSB10	0	1.3390578747022706	0.247	0.057	0	C1_Vascular endothelial_DOCK9
LINC00342	0	-1.5332918079261644	0.015	0.25	0	C1_Vascular endothelial_DOCK9
SEPT10	0	1.0680364103682465	0.145	0	0	C1_Vascular endothelial_DOCK9
AC105402.3	0	3.3432337970046895	0.275	0.002	0	C1_Vascular endothelial_DOCK9
TTN-AS1	0	1.2807364814648743	0.218	0.053	0	C1_Vascular endothelial_DOCK9
TTN	0	0.7015911892517144	0.319	0.063	0	C1_Vascular endothelial_DOCK9
SSFA2	0	1.279222469984007	0.165	0	0	C1_Vascular endothelial_DOCK9
LINC01473	0	-1.500621999173014	0.025	0.238	0	C1_Vascular endothelial_DOCK9
HECW2	0	-1.0153350637312792	0.337	0.552	0	C1_Vascular endothelial_DOCK9
BMPR2	0	-0.7992164021722132	0.499	0.67	0	C1_Vascular endothelial_DOCK9
DES	0	2.6107027451664284	0.249	0.018	0	C1_Vascular endothelial_DOCK9
SEPT2	0	1.3195613697236013	0.191	0	0	C1_Vascular endothelial_DOCK9
TTLL3	0	-0.8905896746192099	0.016	0.135	0	C1_Vascular endothelial_DOCK9
IQSEC1	0	-1.220001176853962	0.125	0.322	0	C1_Vascular endothelial_DOCK9
