gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
HSPG2	0	2.201977676682979	0.264	0.003	0	C1_B_Memory_CXCR4
IFI44	0	1.2243029819100242	0.237	0.005	0	C1_B_Memory_CXCR4
DPYD	0	1.9184493511355318	0.332	0.006	0	C1_B_Memory_CXCR4
PBX1	0	1.3341470994567797	0.166	0	0	C1_B_Memory_CXCR4
RASAL2	0	1.887631722405457	0.241	0.003	0	C1_B_Memory_CXCR4
C1orf21	0	1.0372341061799617	0.139	0	0	C1_B_Memory_CXCR4
MIR181A1HG	0	1.2487609016281134	0.163	0	0	C1_B_Memory_CXCR4
AKT3	0	2.958298511490853	0.536	0.037	0	C1_B_Memory_CXCR4
SMYD3	0	3.032748146707467	0.566	0.028	0	C1_B_Memory_CXCR4
EXOC6B	0	1.9687789586484574	0.373	0.01	0	C1_B_Memory_CXCR4
MIR4435-2HG	0	2.088844306384377	0.22	0.002	0	C1_B_Memory_CXCR4
ITGA6	0	1.4522244028123639	0.18	0	0	C1_B_Memory_CXCR4
INO80D	0	4.572281827577037	0.837	0.097	0	C1_B_Memory_CXCR4
ZNF385D	0	2.941557416463695	0.281	0.004	0	C1_B_Memory_CXCR4
ARHGAP31	0	1.7977723036504607	0.305	0.006	0	C1_B_Memory_CXCR4
KALRN	0	2.0607382015799223	0.271	0.002	0	C1_B_Memory_CXCR4
WWTR1	0	2.334281639404707	0.247	0.001	0	C1_B_Memory_CXCR4
FNDC3B	0	2.994162404891182	0.495	0.005	0	C1_B_Memory_CXCR4
AFAP1	0	0.8254639793377393	0.132	0	0	C1_B_Memory_CXCR4
SCFD2	0	2.244239175783615	0.305	0.01	0	C1_B_Memory_CXCR4
RASGEF1B	0	6.537309995892222	0.973	0.121	0	C1_B_Memory_CXCR4
AFF1	0	2.6531952577979245	0.502	0.025	0	C1_B_Memory_CXCR4
SPRY1	0	1.7032866343354018	0.176	0	0	C1_B_Memory_CXCR4
SMAD1	0	1.35191356038897	0.149	0	0	C1_B_Memory_CXCR4
NR3C2	0	1.6271989425741293	0.271	0.005	0	C1_B_Memory_CXCR4
FNIP2	0	0.8916154129519668	0.149	0	0	C1_B_Memory_CXCR4
TRIO	0	2.841768966357369	0.559	0.011	0	C1_B_Memory_CXCR4
ARL15	0	3.014648685904316	0.485	0.016	0	C1_B_Memory_CXCR4
PDE4D	0	2.7199767530321606	0.424	0.001	0	C1_B_Memory_CXCR4
ZSWIM6	0	2.5106726527649768	0.437	0.025	0	C1_B_Memory_CXCR4
MAST4	0	2.5027221794956187	0.458	0.028	0	C1_B_Memory_CXCR4
DHFR	0	4.59254230920097	0.654	0.032	0	C1_B_Memory_CXCR4
RASGRF2	0	1.4744443067757202	0.21	0	0	C1_B_Memory_CXCR4
MCTP1	0	3.2908991475583207	0.275	0.001	0	C1_B_Memory_CXCR4
PAM	0	1.3103700256909177	0.203	0.001	0	C1_B_Memory_CXCR4
EPB41L4A	0	1.9739134255393982	0.247	0.006	0	C1_B_Memory_CXCR4
ARHGAP26	0	2.7471698850301136	0.356	0.01	0	C1_B_Memory_CXCR4
CDKAL1	0	2.6241520024659915	0.519	0.027	0	C1_B_Memory_CXCR4
BTBD9	0	2.2490438411202684	0.424	0.015	0	C1_B_Memory_CXCR4
AUTS2	0	2.8034686096070547	0.461	0.024	0	C1_B_Memory_CXCR4
CDK6	0	1.2990030417578682	0.18	0	0	C1_B_Memory_CXCR4
AHCYL2	0	1.716179253586041	0.308	0.006	0	C1_B_Memory_CXCR4
FTX	0	3.1623473891323983	0.661	0.026	0	C1_B_Memory_CXCR4
CSGALNACT1	0	2.0514529795769074	0.332	0.001	0	C1_B_Memory_CXCR4
RBPMS	0	1.8969743047339198	0.268	0.002	0	C1_B_Memory_CXCR4
SPIDR	0	2.6602122778269517	0.542	0.037	0	C1_B_Memory_CXCR4
ASPH	0	1.6353057199026535	0.217	0.001	0	C1_B_Memory_CXCR4
VPS13B	0	2.723714570146489	0.556	0.044	0	C1_B_Memory_CXCR4
EXT1	0	2.139181399757759	0.346	0.006	0	C1_B_Memory_CXCR4
TRAPPC9	0	2.056341497421423	0.427	0.019	0	C1_B_Memory_CXCR4
PTK2	0	2.5236817322458562	0.454	0.012	0	C1_B_Memory_CXCR4
DENND3	0	1.2783549395108964	0.214	0	0	C1_B_Memory_CXCR4
GNAQ	0	2.3870998326415935	0.319	0.001	0	C1_B_Memory_CXCR4
FANCC	0	1.678798551619858	0.244	0.005	0	C1_B_Memory_CXCR4
DENND1A	0	2.3759955493591667	0.522	0.014	0	C1_B_Memory_CXCR4
IFITM3	0	1.144655848404815	0.183	0.002	0	C1_B_Memory_CXCR4
PLEKHA7	0	1.531964818270389	0.254	0.002	0	C1_B_Memory_CXCR4
AMBRA1	0	1.88133364955222	0.359	0.009	0	C1_B_Memory_CXCR4
FCHSD2	0	3.547741871987513	0.746	0.099	0	C1_B_Memory_CXCR4
TMEM135	0	1.8501412431132584	0.336	0.005	0	C1_B_Memory_CXCR4
ZBTB16	0	2.199383812638097	0.322	0	0	C1_B_Memory_CXCR4
SFMBT2	0	2.1866575258003476	0.329	0.01	0	C1_B_Memory_CXCR4
ANK3	0	2.018094432357754	0.224	0.001	0	C1_B_Memory_CXCR4
TCF7L2	0	1.203689350216812	0.186	0.001	0	C1_B_Memory_CXCR4
CTBP2	0	0.9388968261370224	0.163	0	0	C1_B_Memory_CXCR4
TMTC1	0	2.2823047068855473	0.247	0	0	C1_B_Memory_CXCR4
MED13L	0	3.1653054429108143	0.668	0.061	0	C1_B_Memory_CXCR4
DOCK9	0	2.612773083972499	0.359	0.012	0	C1_B_Memory_CXCR4
SAMD4A	0	1.526262262509039	0.251	0.002	0	C1_B_Memory_CXCR4
PRKCH	0	2.208781934856204	0.308	0.005	0	C1_B_Memory_CXCR4
SMAD3	0	1.6138742658836558	0.268	0.004	0	C1_B_Memory_CXCR4
SLCO3A1	0	0.9822421693347447	0.146	0	0	C1_B_Memory_CXCR4
ZNRF1	0	0.9386653466030512	0.142	0	0	C1_B_Memory_CXCR4
WWOX	0	3.004217816293672	0.508	0.014	0	C1_B_Memory_CXCR4
MYO1D	0	2.4360618811075074	0.393	0.003	0	C1_B_Memory_CXCR4
SLFN12L	0	2.042783054950902	0.308	0.011	0	C1_B_Memory_CXCR4
BCAS3	0	2.271150923885592	0.437	0.02	0	C1_B_Memory_CXCR4
SLC39A11	0	2.230343388855005	0.353	0.011	0	C1_B_Memory_CXCR4
MIB1	0	3.332951978889349	0.603	0.027	0	C1_B_Memory_CXCR4
INSR	0	2.0878614522704213	0.292	0	0	C1_B_Memory_CXCR4
MKL1	0	2.134487798563689	0.386	0.019	0	C1_B_Memory_CXCR4
NFIA	0	1.882859183879928	0.268	0.001	0	C1_B_Memory_CXCR4
IFI44L	0	2.1988265170703323	0.356	0.011	0	C1_B_Memory_CXCR4
MAGI3	0	1.3038006005924303	0.21	0	0	C1_B_Memory_CXCR4
DNM3	0	1.1998228216999673	0.193	0.001	0	C1_B_Memory_CXCR4
EPHA4	0	1.2117087582332151	0.176	0	0	C1_B_Memory_CXCR4
IGFBP7	0	1.8183846806255315	0.22	0	0	C1_B_Memory_CXCR4
CCSER1	0	3.3907648777918786	0.569	0	0	C1_B_Memory_CXCR4
DST	0	1.491404319075093	0.2	0	0	C1_B_Memory_CXCR4
ZDHHC14	0	1.5128860006058373	0.237	0.004	0	C1_B_Memory_CXCR4
PCAT1	0	1.5477341325400744	0.203	0.001	0	C1_B_Memory_CXCR4
SVIL	0	1.5195323736760238	0.193	0.001	0	C1_B_Memory_CXCR4
CPNE8	0	1.466994452943021	0.18	0.001	0	C1_B_Memory_CXCR4
GPHN	0	2.1465004358381705	0.342	0.003	0	C1_B_Memory_CXCR4
IFI27	0	0.8874463716777516	0.149	0.001	0	C1_B_Memory_CXCR4
CEP112	0	1.695016213874739	0.22	0.001	0	C1_B_Memory_CXCR4
PTPRM	0	3.083793096892834	0.329	0	0	C1_B_Memory_CXCR4
PLCB1	0	2.5378352667814936	0.298	0	0	C1_B_Memory_CXCR4
RIN2	0	1.1338066451352051	0.146	0	0	C1_B_Memory_CXCR4
CLDN5	0	1.2310399004976518	0.183	0	0	C1_B_Memory_CXCR4
FNBP1L	0	1.4904484494551151	0.207	0.002	0	C1_B_Memory_CXCR4
MAML3	0	1.5114007835908023	0.21	0.001	0	C1_B_Memory_CXCR4
MAGI2	0	1.2672218560732804	0.163	0	0	C1_B_Memory_CXCR4
PDK4	0	1.7532785277703873	0.169	0.002	0	C1_B_Memory_CXCR4
CNTNAP3B	0	1.6089112890131212	0.214	0	0	C1_B_Memory_CXCR4
FGD4	0	1.8497106922564701	0.217	0.001	0	C1_B_Memory_CXCR4
IRAK3	0	0.7616147446792287	0.129	0	0	C1_B_Memory_CXCR4
IGF1R	0	1.782269157690288	0.254	0.005	0	C1_B_Memory_CXCR4
OSBPL1A	0	1.1611673025965863	0.166	0	0	C1_B_Memory_CXCR4
CD93	0	0.7556056945660773	0.136	0	0	C1_B_Memory_CXCR4
ZBTB46	0	0.9334481347995748	0.125	0	0	C1_B_Memory_CXCR4
KIAA1671	0	1.2249651772704682	0.193	0	0	C1_B_Memory_CXCR4
ST6GALNAC3	0	2.7276730050407787	0.292	0.004	0	C1_B_Memory_CXCR4
CAMSAP2	0	1.3884612641533531	0.21	0.001	0	C1_B_Memory_CXCR4
CDC42BPA	0	1.1422262720799405	0.18	0	0	C1_B_Memory_CXCR4
IL1R1	0	1.060453077734348	0.132	0	0	C1_B_Memory_CXCR4
FMNL2	0	1.7723799325397096	0.224	0.001	0	C1_B_Memory_CXCR4
PKP4	0	2.818201971834705	0.342	0	0	C1_B_Memory_CXCR4
NOSTRIN	0	1.2920167648131176	0.166	0	0	C1_B_Memory_CXCR4
AGAP1	0	1.3816123423226325	0.183	0	0	C1_B_Memory_CXCR4
SH3RF1	0	0.7798987181961033	0.132	0	0	C1_B_Memory_CXCR4
PTPRK	0	2.0459383713099966	0.339	0.003	0	C1_B_Memory_CXCR4
EGFL7	0	1.595473589592329	0.207	0	0	C1_B_Memory_CXCR4
LDLRAD3	0	1.0252327881452514	0.159	0	0	C1_B_Memory_CXCR4
JAM3	0	1.1223710840473946	0.149	0	0	C1_B_Memory_CXCR4
EPS8	0	1.2474513742288693	0.193	0	0	C1_B_Memory_CXCR4
PPFIBP1	0	1.2352944275506088	0.197	0.002	0	C1_B_Memory_CXCR4
NAV3	0	1.5078187100417788	0.18	0	0	C1_B_Memory_CXCR4
COL4A2	0	1.7644840582226644	0.244	0	0	C1_B_Memory_CXCR4
FBN1	0	0.9102856429580728	0.136	0	0	C1_B_Memory_CXCR4
NEDD4	0	1.2050688080199923	0.183	0.001	0	C1_B_Memory_CXCR4
LINC00278	0	1.3723245412947136	0.173	0.001	0	C1_B_Memory_CXCR4
NLGN4Y	0	1.1890996886814829	0.142	0	0	C1_B_Memory_CXCR4
TTTY14	0	1.3208122789568328	0.183	0.001	0	C1_B_Memory_CXCR4
CFH	0	2.1666753339234592	0.21	0	0	C1_B_Memory_CXCR4
FGD5	0	1.1247507090699738	0.176	0	0	C1_B_Memory_CXCR4
EBF1	0	2.8847290293945576	0.495	0.002	0	C1_B_Memory_CXCR4
COL15A1	0	1.7728120813611523	0.18	0	0	C1_B_Memory_CXCR4
FAM171A1	0	1.0655107966538784	0.142	0	0	C1_B_Memory_CXCR4
NRP1	0	2.408162552481347	0.292	0	0	C1_B_Memory_CXCR4
A2M	0	1.8934530478285878	0.22	0	0	C1_B_Memory_CXCR4
LINGO1	0	4.8283451344245965	0.736	0	0	C1_B_Memory_CXCR4
KAZN	0	1.0802041464471703	0.129	0	0	C1_B_Memory_CXCR4
MACO1	0	0.8346084084962382	0.156	0	0	C1_B_Memory_CXCR4
TUT4	0	2.405234363126332	0.424	0	0	C1_B_Memory_CXCR4
PATJ	0	1.8489255654539354	0.275	0	0	C1_B_Memory_CXCR4
CACHD1	0	1.3987101101592108	0.166	0	0	C1_B_Memory_CXCR4
AC118549.1	0	1.962719271170901	0.356	0	0	C1_B_Memory_CXCR4
MIGA1	0	1.1161068332604582	0.149	0	0	C1_B_Memory_CXCR4
ADGRL4	0	2.2944707473709443	0.264	0	0	C1_B_Memory_CXCR4
ADGRL2	0	1.8539021280254988	0.237	0	0	C1_B_Memory_CXCR4
