gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
RPL11	0	-5.115722143392713	0.019	0.992	0	C2_ILC_HLA-B
SH3BGRL3	0	-3.970495620475212	0.004	0.798	0	C2_ILC_HLA-B
CD52	0	-4.8010923714009355	0.001	0.899	0	C2_ILC_HLA-B
RPS8	0	-5.059399324390136	0.013	0.977	0	C2_ILC_HLA-B
RPL5	0	-3.894336082959891	0.005	0.829	0	C2_ILC_HLA-B
S100A4	0	-5.040001044712693	0.003	0.884	0	C2_ILC_HLA-B
RPS27	0	-6.685086831128169	0.002	1	0	C2_ILC_HLA-B
H3F3A	0	-4.463865697324567	0.011	0.907	0	C2_ILC_HLA-B
RPS7	0	-4.503662705411464	0.007	0.891	0	C2_ILC_HLA-B
RPS27A	0	-5.514335644725794	0.006	0.961	0	C2_ILC_HLA-B
TMSB10	0	-6.146804788444678	0.009	1	0	C2_ILC_HLA-B
RPL31	0	-4.633210803657361	0.013	0.922	0	C2_ILC_HLA-B
PTMA	0	-5.633462924391642	0.034	1	0	C2_ILC_HLA-B
RPL32	0	-5.564059386429429	0.013	1	0	C2_ILC_HLA-B
RPL15	0	-5.232286451981777	0.009	0.984	0	C2_ILC_HLA-B
RPL29	0	-4.444505438203349	0.009	0.938	0	C2_ILC_HLA-B
RPL24	0	-3.8398083225438673	0.009	0.837	0	C2_ILC_HLA-B
RPL35A	0	-4.9348897388574375	0.006	0.946	0	C2_ILC_HLA-B
RPL9	0	-4.407617792933216	0	0.868	0	C2_ILC_HLA-B
H2AFZ	0	-3.8284839984504546	0.001	0.713	0	C2_ILC_HLA-B
RPL34	0	-5.437341498139967	0.015	0.984	0	C2_ILC_HLA-B
RPS3A	0	-5.063617870326046	0.004	0.961	0	C2_ILC_HLA-B
RPL37	0	-4.506858028588763	0.016	0.915	0	C2_ILC_HLA-B
RPS23	0	-5.3291629949933315	0.008	0.984	0	C2_ILC_HLA-B
COX7C	0	-3.8969002738757594	0.002	0.76	0	C2_ILC_HLA-B
HINT1	0	-3.2935015923379103	0.002	0.705	0	C2_ILC_HLA-B
RPS14	0	-5.759410257882581	0.002	0.969	0	C2_ILC_HLA-B
HLA-A	0	-4.1030511650212	0.01	0.814	0	C2_ILC_HLA-B
HLA-C	0	-3.705295471431962	0.005	0.791	0	C2_ILC_HLA-B
LTB	0	-4.989593770667514	0.002	0.876	0	C2_ILC_HLA-B
RPS18	0	-5.8204050356366706	0.006	0.984	0	C2_ILC_HLA-B
RPL10A	0	-4.499660481883935	0	0.884	0	C2_ILC_HLA-B
EEF1A1	0	-5.039297801370098	0.019	0.977	0	C2_ILC_HLA-B
RPS12	0	-5.893187571944228	0.006	0.992	0	C2_ILC_HLA-B
TMSB4X	0	-7.427893241618804	0.012	1	0	C2_ILC_HLA-B
RPS4X	0	-4.906527138679999	0.018	0.953	0	C2_ILC_HLA-B
RPL39	0	-5.073510712033142	0.003	0.961	0	C2_ILC_HLA-B
RPL10	0	-6.397434965976495	0.014	1	0	C2_ILC_HLA-B
RPS20	0	-3.853080470237075	0.014	0.86	0	C2_ILC_HLA-B
