gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
RPS27	0	-1.6879594528869806	0.974	0.999	0	C7_NK_GNLY
RPS27A	0	-1.7829558595470285	0.985	1	0	C7_NK_GNLY
RPL34	0	-1.8245277258515609	0.976	0.999	0	C7_NK_GNLY
RPS3A	0	-1.7670793903813333	0.992	0.999	0	C7_NK_GNLY
RPS24	0	-1.6447747019120253	0.983	0.999	0	C7_NK_GNLY
PTPRCAP	0	2.3056066173143	0.949	0.185	0	C7_NK_GNLY
RPL21	0	-1.8486647287871056	0.96	0.998	0	C7_NK_GNLY
RPS29	0	-2.314776083570732	0.827	0.98	0	C7_NK_GNLY
B2M	0	-1.3828954170966803	1	1	0	C7_NK_GNLY
RPS15A	0	-1.6131145421594724	0.986	0.998	0	C7_NK_GNLY
RPL26	0	-1.5660631731087333	0.979	0.998	0	C7_NK_GNLY
RPL39	0	-1.8911569669871042	0.979	1	0	C7_NK_GNLY
MT-CO2	0	-1.629263517603695	1	1	0	C7_NK_GNLY
MT-ND3	0	-2.4247463138039467	0.892	0.996	0	C7_NK_GNLY
MT-ND4L	0	-1.857892656612539	0.978	0.996	0	C7_NK_GNLY
MT-CYB	1.3818408273270135e-301	-1.9227941555886234	0.993	0.999	2.2586188322660035e-297	C7_NK_GNLY
HLA-C	7.50626254105605e-301	1.692646659326761	0.996	0.899	1.2268986123356114e-296	C7_NK_GNLY
HLA-B	1.0370350474924019e-299	1.7091026182934241	0.989	0.931	1.695033785126331e-295	C7_NK_GNLY
MT-ND4	1.3787591684455298e-295	-2.3191088049017883	0.892	0.983	2.2535818608242184e-291	C7_NK_GNLY
RPL9	2.903887558969966e-294	-1.7034351332942457	0.958	0.994	4.746404215136409e-290	C7_NK_GNLY
MT-ATP6	4.415592032541922e-268	-1.80335314140674	0.986	0.998	7.217285177189771e-264	C7_NK_GNLY
MT-ND2	1.3406940029253948e-259	-2.293195847206234	0.827	0.949	2.191364347781558e-255	C7_NK_GNLY
ALDOA	3.5514038163943825e-259	1.517821043218522	0.766	0.111	5.804769537896618e-255	C7_NK_GNLY
S100A6	1.9784023750072998e-254	1.9663417645883268	0.954	0.353	3.2336986819494316e-250	C7_NK_GNLY
RPL28	1.248085064011269e-253	1.325689240063027	0.989	0.946	2.0399950371264192e-249	C7_NK_GNLY
JUNB	1.3088064806392635e-241	1.945953123696936	0.82	0.173	2.1392441926048762e-237	C7_NK_GNLY
RPS15	3.9015433929686025e-227	1.2226111680022074	0.989	0.856	6.377072675807181e-223	C7_NK_GNLY
FAU	1.8409842166478202e-226	1.272394311741449	0.988	0.801	3.009088702110862e-222	C7_NK_GNLY
EIF1	2.5533112960981953e-214	1.3969289505227396	0.983	0.672	4.1733873134725005e-210	C7_NK_GNLY
ZYX	1.4593983502707726e-212	1.2495943736909598	0.599	0.074	2.385386603517578e-208	C7_NK_GNLY
NDUFA13	7.728440072843208e-212	1.2548380847824294	0.824	0.161	1.2632135299062224e-207	C7_NK_GNLY
HLA-A	8.191097829040262e-212	1.1887361592023895	0.992	0.844	1.3388349401566308e-207	C7_NK_GNLY
ARHGDIA	8.588000445140066e-212	1.2482521458319393	0.674	0.101	1.4037086727581439e-207	C7_NK_GNLY
RPS19	3.450055175960549e-209	1.3145095349080922	0.988	0.889	5.639115185107517e-205	C7_NK_GNLY
RPLP1	2.366898497013872e-207	1.1165903868454503	0.989	0.928	3.868695593369174e-203	C7_NK_GNLY
MT-ND5	3.079943485654732e-206	-1.6238248133591067	0.942	0.961	5.034167627302659e-202	C7_NK_GNLY
GAPDH	1.645935615684214e-204	1.516349082747285	0.985	0.594	2.690281763835848e-200	C7_NK_GNLY
HLA-DRB1	2.3224709285089648e-203	1.640674930135579	0.635	0.101	3.796078732647903e-199	C7_NK_GNLY
RPS14	1.8526449323908174e-201	1.1796161753359335	0.985	0.855	3.028148141992791e-197	C7_NK_GNLY
JUN	9.886989559134526e-200	1.6380808794283606	0.39	0.021	1.6160284434405382e-195	C7_NK_GNLY
DUSP2	3.825868334465102e-198	1.7425338289330579	0.721	0.153	6.25338179268321e-194	C7_NK_GNLY
S100A4	9.392220957544202e-196	1.53587157167228	0.982	0.681	1.5351585155105997e-191	C7_NK_GNLY
DDIT4	2.0324655239506326e-195	1.4792332429992554	0.712	0.137	3.322064898897309e-191	C7_NK_GNLY
ZFP36	1.3094543821327137e-193	1.6340232896696079	0.784	0.186	2.1403031875959207e-189	C7_NK_GNLY
FLNA	6.930372072431724e-193	1.4500678565044505	0.784	0.178	1.1327693152389653e-188	C7_NK_GNLY
CALR	8.508991315675828e-193	1.5588139834304218	0.825	0.209	1.390794630547214e-188	C7_NK_GNLY
RPL35A	9.43981377997141e-193	-1.0754440294140917	0.979	0.991	1.542937562336327e-188	C7_NK_GNLY
WAS	4.452111675868564e-191	1.1379687369360645	0.619	0.091	7.276976534207168e-187	C7_NK_GNLY
TMSB4X	7.417274940392657e-190	-0.9662176781526846	0.988	0.999	1.2123535890071798e-185	C7_NK_GNLY
SNRPN	6.780072413183089e-187	0.936790420704791	0.451	0.041	1.108202835934776e-182	C7_NK_GNLY
DUSP1	1.2648680659578853e-186	1.3612252487729863	0.517	0.063	2.0674268538081635e-182	C7_NK_GNLY
PFN1	1.4717392438468334e-186	1.156466911773065	0.99	0.855	2.4055577940676493e-182	C7_NK_GNLY
LSP1	1.5678069385233773e-186	1.3762873587139892	0.947	0.348	2.56258044101646e-182	C7_NK_GNLY
FKBP8	1.195892365347528e-185	1.0054045033476569	0.594	0.084	1.9546860711605345e-181	C7_NK_GNLY
IFITM1	7.144320313248234e-185	1.463301933531009	0.986	0.742	1.1677391552004238e-180	C7_NK_GNLY
PKM	3.184229940978541e-184	1.1010955253315	0.649	0.108	5.204623838529425e-180	C7_NK_GNLY
RPL18A	1.5965162123107672e-180	1.048789402436121	0.978	0.863	2.609505749021949e-176	C7_NK_GNLY
GPSM3	4.818268464398531e-180	1.2390846299550786	0.807	0.19	7.875459805059399e-176	C7_NK_GNLY
SPOCK2	5.907010578684305e-180	1.214786409480977	0.49	0.057	9.655008790859496e-176	C7_NK_GNLY
RPL19	5.631976049852963e-178	0.9217713312647948	0.988	0.935	9.205464853484668e-174	C7_NK_GNLY
RPL22	1.1845750851155518e-176	-1.2113704825793912	0.957	0.964	1.9361879766213694e-172	C7_NK_GNLY
CD6	1.2656148509640918e-176	1.1421244924261111	0.377	0.026	2.068647473900808e-172	C7_NK_GNLY
RPL7	2.733845245803916e-176	-1.5523741664921582	0.86	0.898	4.4684700542665e-172	C7_NK_GNLY
SERF2	4.6323723531114815e-176	1.2924963699076129	0.961	0.522	7.571612611160716e-172	C7_NK_GNLY
TSC22D3	6.941886184680552e-176	1.4788242669886953	0.857	0.262	1.1346512968860362e-171	C7_NK_GNLY
MYO1G	6.927676638071169e-175	1.0925914504168643	0.569	0.085	1.1323287464927326e-170	C7_NK_GNLY
CORO1A	3.220501296625868e-174	1.4103746444076513	0.931	0.403	5.263909369334981e-170	C7_NK_GNLY
RPL18	3.47092089375208e-171	1.0256373514876471	0.985	0.785	5.673220200837775e-167	C7_NK_GNLY
SF3A2	4.171494581518583e-171	0.9169621519775288	0.397	0.032	6.818307893492123e-167	C7_NK_GNLY
DNAJB1	4.185704677469615e-170	1.1353006539046961	0.562	0.087	6.841534295324085e-166	C7_NK_GNLY
ZFP36L2	5.623683861947111e-169	1.5337438564700374	0.951	0.462	9.191911272352553e-165	C7_NK_GNLY
GSTK1	9.753704715108007e-169	1.2116994247331088	0.792	0.191	1.5942430356844037e-164	C7_NK_GNLY
FTH1	3.4097522997566e-167	1.2352766792624008	0.971	0.633	5.573240133952162e-163	C7_NK_GNLY
ACTB	1.0480282015285528e-166	1.1211921820648545	1	0.968	1.7130020953984197e-162	C7_NK_GNLY
CFL1	5.0362477299048396e-166	1.1680330327796584	0.976	0.678	8.231746914529461e-162	C7_NK_GNLY
SNRPA	6.618017219133448e-166	0.9701006208612197	0.473	0.057	1.081714914467362e-161	C7_NK_GNLY
RPL36	1.1354055498907654e-163	1.1035505243831718	0.975	0.716	1.855820371296456e-159	C7_NK_GNLY
DPP7	2.5170727812148018e-163	0.9766577844157005	0.476	0.06	4.114155460895594e-159	C7_NK_GNLY
SNRPB	4.218989794334661e-163	0.9576040010631084	0.545	0.083	6.895938818840003e-159	C7_NK_GNLY
LAT	4.622895799619901e-163	1.0359190521753956	0.614	0.11	7.556123184478728e-159	C7_NK_GNLY
UQCRB	6.738544259254032e-163	-1.5629503012087942	0.82	0.878	1.1014150591750714e-158	C7_NK_GNLY
VIM	1.4530252149626749e-162	1.5006679514209984	0.92	0.409	2.374969713856492e-158	C7_NK_GNLY
RPS28	2.7352039825552617e-162	0.9384606095209129	0.983	0.907	4.470690909486576e-158	C7_NK_GNLY
RPS12	3.1021247905347297e-161	0.9559563066125394	0.988	0.954	5.070422970129016e-157	C7_NK_GNLY
SHISA5	9.426206084868365e-161	0.9928519936139049	0.577	0.096	1.5407133845717344e-156	C7_NK_GNLY
RPLP0	1.5021213086952208e-160	1.1857684489362215	0.983	0.672	2.4552172790623384e-156	C7_NK_GNLY
TUBA4A	1.5214935416981926e-160	1.0672359008779821	0.487	0.066	2.486881193905696e-156	C7_NK_GNLY
EZR	3.8141494218671846e-160	1.0439138650581041	0.534	0.082	6.234227230041913e-156	C7_NK_GNLY
TGFB1	6.11866241047605e-160	0.9341327513148482	0.602	0.105	1.0000953709923105e-155	C7_NK_GNLY
MAD1L1	7.524388040391069e-160	0.8847123194600446	0.397	0.037	1.2298612252019202e-155	C7_NK_GNLY
MRPL54	1.112443221601909e-159	0.8998452209966763	0.465	0.058	1.8182884457083201e-155	C7_NK_GNLY
CDC37	3.3271075455720765e-159	0.9610451587457842	0.644	0.121	5.438157283237559e-155	C7_NK_GNLY
RPLP2	1.2212437374422736e-158	1.127270759242323	0.972	0.671	1.9961228888493962e-154	C7_NK_GNLY
