ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	dataset	status
GO:0033700	phospholipid efflux	2/29	14/18870	2.051656563627548e-4	0.009981309182048021	0.006640888350689168	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down
GO:1905952	regulation of lipid localization	3/29	183/18870	0.002723262352082744	0.048176986701391096	0.03205370998145239	APOE/APOC1/RETN	3	C5_CD4_memory_IL7R	GSE145926	Down
GO:0033700	phospholipid efflux	2/38	14/18870	3.5389712463333424e-4	0.008881954664578072	0.006260208443449738	APOC1/APOE	2	C4_T|NK_NKG7	GSE145926	Down
GO:0033700	phospholipid efflux	2/67	14/18870	0.0010994434050388175	0.025319066240676532	0.020210973349683834	APOC1/APOE	2	C9_B_naive_CST3	GSE145926	Down
GO:1905952	regulation of lipid localization	5/29	183/18870	7.984445205763023e-6	0.003132564002394359	0.001975099603530853	THBS1/RETN/IL1B/APOE/APOC1	5	C6_Macrophages_RBM47	GSE145926	Down
GO:0033700	phospholipid efflux	2/29	14/18870	2.051656563627548e-4	0.013911707982757168	0.008771411821172298	APOE/APOC1	2	C6_Macrophages_RBM47	GSE145926	Down
GO:0140353	lipid export from cell	2/29	47/18870	0.002361787358940636	0.039711767449616124	0.025038497564708998	RETN/IL1B	2	C6_Macrophages_RBM47	GSE145926	Down
GO:0071825	protein-lipid complex organization	2/29	53/18870	0.002993551727910174	0.04406632211983609	0.0277840693059826	APOE/APOC1	2	C6_Macrophages_RBM47	GSE145926	Down
GO:1905952	regulation of lipid localization	6/121	183/18870	0.0011720946470881635	0.018990252922884285	0.015106944484108188	APOE/RETN/APOC1/MSR1/TSPO/PLIN2	6	C2_Epithelial_CAPS	GSE145926	Down
GO:0140353	lipid export from cell	3/121	47/18870	0.0033952756474795354	0.03568070925967333	0.028384376770987284	RETN/TSPO/INHBA	3	C2_Epithelial_CAPS	GSE145926	Down
GO:0033700	phospholipid efflux	2/121	14/18870	0.0035284798964376456	0.03627092435028043	0.028853899038209938	APOE/APOC1	2	C2_Epithelial_CAPS	GSE145926	Down
GO:0006631	fatty acid metabolic process	8/121	401/18870	0.0043369985268738726	0.04083717812904439	0.032486401597088925	ALOX5AP/APOC1/FABP5/ALOX5/MGST3/CD74/SCD/LIPA	8	C2_Epithelial_CAPS	GSE145926	Down
GO:1905952	regulation of lipid localization	8/136	183/18870	5.4941158946771626e-5	0.0034698394161494436	0.0027939667731060004	APOC1/TSPO/MSR1/PPARG/RETN/ABCG1/APOE/ABHD5	8	C3_Epithelial_TYROBP	GSE145926	Down
GO:0033700	phospholipid efflux	3/136	14/18870	1.2576149558763327e-4	0.005747529802143434	0.004627997255401987	APOC1/ABCG1/APOE	3	C3_Epithelial_TYROBP	GSE145926	Down
GO:0045444	fat cell differentiation	7/136	248/18870	0.0021606081514652484	0.038715769691089696	0.031174518800114452	FABP4/ALOX5/TCF7L2/PPARG/RETN/CEBPB/FFAR4	7	C3_Epithelial_TYROBP	GSE145926	Down
GO:0045444	fat cell differentiation	12/163	248/18870	1.712385480687462e-6	9.619400542388163e-5	6.672453119576261e-5	METRNL/ZFP36L1/STK4/RORA/NR4A2/FOSL2/PIM1/HNRNPU/CEBPB/SOD2/TGFB1/RGS2	12	C10_T|NK_NKG7	GSE149878	Up
GO:0045598	regulation of fat cell differentiation	9/163	146/18870	5.0492079216369376e-6	1.9247099720335088e-4	1.3350662549691653e-4	METRNL/ZFP36L1/STK4/RORA/PIM1/HNRNPU/CEBPB/SOD2/TGFB1	9	C10_T|NK_NKG7	GSE149878	Up
GO:0050873	brown fat cell differentiation	5/163	54/18870	1.0161997070297486e-4	0.001838345458705794	0.0012751599059368241	METRNL/PIM1/HNRNPU/CEBPB/RGS2	5	C10_T|NK_NKG7	GSE149878	Up
GO:0006631	fatty acid metabolic process	9/85	401/18870	7.999468406608074e-5	0.0022693647958741446	0.0016511222458118946	MGST3/HPGD/CD74/LPL/AKR1C2/AKR1C3/ALOX5/ALOX5AP/CES1	9	C6_Macrophages_C1QA	GSE149878	Down
GO:0140353	lipid export from cell	3/85	47/18870	0.0012396411135921748	0.014860294094614269	0.010811907456894157	INHBA/RETN/TSPO	3	C6_Macrophages_C1QA	GSE149878	Down
GO:0070542	response to fatty acid	3/85	56/18870	0.002058359653580969	0.01928463170587995	0.014030923750010285	LPL/AKR1C2/AKR1C3	3	C6_Macrophages_C1QA	GSE149878	Down
GO:0071825	protein-lipid complex organization	4/114	53/18870	2.9448241451465225e-4	0.005909426959924626	0.004335114256091581	PLA2G7/ABCA1/PLTP/APOE	4	C6_Macrophages_C1QA	GSE149878	Up
GO:0045444	fat cell differentiation	7/114	248/18870	7.765054169778216e-4	0.011106505671560437	0.008147654823160346	SOD2/ZFP36L1/METRNL/CEBPD/ZFP36/RGS2/ZFP36L2	7	C6_Macrophages_C1QA	GSE149878	Up
GO:1905952	regulation of lipid localization	6/114	183/18870	8.598713527213812e-4	0.011857405474193816	0.008698509662617373	SPP1/ABCA1/PLTP/CD36/APOE/THBS1	6	C6_Macrophages_C1QA	GSE149878	Up
GO:0045598	regulation of fat cell differentiation	5/114	146/18870	0.0019335058575417339	0.019652784735382303	0.014417145326615819	SOD2/ZFP36L1/METRNL/ZFP36/ZFP36L2	5	C6_Macrophages_C1QA	GSE149878	Up
GO:0033700	phospholipid efflux	2/114	14/18870	0.00313972430652726	0.026802281461116833	0.019661966083315243	ABCA1/APOE	2	C6_Macrophages_C1QA	GSE149878	Up
GO:0043691	reverse cholesterol transport	2/114	20/18870	0.006402366191387345	0.041384525693847526	0.030359398387297284	ABCA1/APOE	2	C6_Macrophages_C1QA	GSE149878	Up
GO:0090520	sphingolipid mediated signaling pathway	3/313	18/18870	0.003066066250576796	0.0354129982543316	0.02778132753232235	S1PR1/RAC1/PLPP3	3	C9_CD4 memory_IL7R	GSE149878	Down
GO:0045444	fat cell differentiation	12/247	248/18870	1.0985004465853437e-4	0.002517857858144536	0.0019191522379949928	ZFP36L2/STK4/RORA/HNRNPU/ARID5B/NR4A2/SOCS1/SOD2/CEBPB/RGS2/PIM1/DUSP10	12	C9_CD4 memory_IL7R	GSE149878	Up
GO:0045598	regulation of fat cell differentiation	8/247	146/18870	6.872178665460101e-4	0.009300376610991356	0.00708889841793275	ZFP36L2/STK4/RORA/HNRNPU/SOD2/CEBPB/PIM1/DUSP10	8	C9_CD4 memory_IL7R	GSE149878	Up
GO:0050873	brown fat cell differentiation	5/247	54/18870	6.918359249230857e-4	0.009300376610991356	0.00708889841793275	HNRNPU/CEBPB/RGS2/PIM1/DUSP10	5	C9_CD4 memory_IL7R	GSE149878	Up
