ID	Description	geneID	status	celltype	Tissue	dataset	Dataset name
GO:0033700	phospholipid efflux	APOE/APOC1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
GO:0065005	protein-lipid complex assembly	APOE/APOC1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
GO:0034368	protein-lipid complex remodeling	APOE/APOC1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
GO:0032368	regulation of lipid transport	APOE/APOC1/RETN	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
GO:1905952	regulation of lipid localization	APOE/APOC1/RETN	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
GO:0017121	plasma membrane phospholipid scrambling	PLSCR1/FASLG	Up	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0045332	phospholipid translocation	PLSCR1/FASLG	Up	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0033700	phospholipid efflux	APOC1/APOE	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0065005	protein-lipid complex assembly	APOC1/APOE	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0034368	protein-lipid complex remodeling	APOC1/APOE	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0032368	regulation of lipid transport	APOC1/APOE/RETN	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
GO:0019915	lipid storage	NFKBIA/NFKB1/RNF213/C3	Up	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
GO:0010883	regulation of lipid storage	NFKBIA/NFKB1/C3	Up	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
GO:0033700	phospholipid efflux	APOC1/APOE	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
GO:0032368	regulation of lipid transport	APOC1/APOE/TSPO/RETN	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
GO:0032374	regulation of cholesterol transport	APOC1/APOE/TSPO	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
GO:0032368	regulation of lipid transport	THBS1/RETN/IL1B/APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:1905952	regulation of lipid localization	THBS1/RETN/IL1B/APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0015908	fatty acid transport	FABP4/THBS1/IL1B/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0006869	lipid transport	FABP4/THBS1/RETN/IL1B/APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
