ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	dataset	status	TermID_revigo	Description_revigo
GO:0033700	phospholipid efflux	2/29	14/18870	2.051656563627548e-4	0.009981309182048021	0.006640888350689168	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0033700	phospholipid efflux
GO:0065005	protein-lipid complex assembly	2/29	30/18870	9.658966879970341e-4	0.029369296169409816	0.019540344181518947	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0034370	triglyceride-rich lipoprotein particle remodeling
GO:0034368	protein-lipid complex remodeling	2/29	33/18870	0.0011690543379902782	0.03249971059612974	0.021623110311699886	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0034370	triglyceride-rich lipoprotein particle remodeling
GO:0032368	regulation of lipid transport	3/29	153/18870	0.001636098424177337	0.03863763101069971	0.025706867605972114	APOE/APOC1/RETN	3	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:1905952	regulation of lipid localization	3/29	183/18870	0.002723262352082744	0.048176986701391096	0.03205370998145239	APOE/APOC1/RETN	3	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0017121	plasma membrane phospholipid scrambling	2/50	25/18870	0.001985380032361434	0.014168954392442779	0.009813320068422648	PLSCR1/FASLG	2	C4_T|NK_NKG7	GSE145926	Up	GO:0033700	phospholipid efflux
GO:0045332	phospholipid translocation	2/50	52/18870	0.00838469258539348	0.04654111971312612	0.03223405845185594	PLSCR1/FASLG	2	C4_T|NK_NKG7	GSE145926	Up	GO:0033700	phospholipid efflux
GO:0033700	phospholipid efflux	2/38	14/18870	3.5389712463333424e-4	0.008881954664578072	0.006260208443449738	APOC1/APOE	2	C4_T|NK_NKG7	GSE145926	Down	GO:0033700	phospholipid efflux
GO:0065005	protein-lipid complex assembly	2/38	30/18870	0.0016576822188122794	0.02472108700228747	0.017423997692778956	APOC1/APOE	2	C4_T|NK_NKG7	GSE145926	Down	GO:0034370	triglyceride-rich lipoprotein particle remodeling
GO:0034368	protein-lipid complex remodeling	2/38	33/18870	0.0020044416736186266	0.02787257408315631	0.019645239162492657	APOC1/APOE	2	C4_T|NK_NKG7	GSE145926	Down	GO:0034370	triglyceride-rich lipoprotein particle remodeling
