category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	dataset	status
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	2/24	51/8964	0.008086163638361756	0.020215409095904392	0.008898648980015328	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	2/28	51/8964	0.01091536563956279	0.03326587623485802	0.014772675301663927	APOC1/APOE	2	C4_T|NK_NKG7	GSE145926	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/53	51/8964	0.0033270490918156305	0.02610453902809187	0.02316811513329103	APOC1/APOE/TSPO	3	C9_B_naive_CST3	GSE145926	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	5/95	51/8964	1.9216284840202532e-4	0.0010120576682506666	8.158492861980723e-4	APOE/APOC1/TSPO/CYP27A1/LIPA	5	C2_Epithelial_CAPS	GSE145926	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	4/107	51/8964	0.003116882266758786	0.03601730619365708	0.03189791793466595	APOC1/TSPO/NCEH1/APOE	4	C3_Epithelial_TYROBP	GSE145926	Down
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	4/62	63/8964	9.109134478123934e-4	0.00409911051515577	0.0031505277142383527	HPGD/AKR1C3/ALOX5/LTA4H	4	C6_Macrophages_C1QA	GSE149878	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/62	51/8964	0.0051821409242594025	0.021764991881889493	0.016728314562521582	LRPAP1/LPL/TSPO	3	C6_Macrophages_C1QA	GSE149878	Down
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	3/62	63/8964	0.009319424286738329	0.037878950326742884	0.02911331186349495	HSD17B11/AKR1C2/AKR1C3	3	C6_Macrophages_C1QA	GSE149878	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	4/80	51/8964	0.0010690852752437009	0.010797761279961378	0.00849641455588415	ABCA1/PLTP/CD36/APOE	4	C6_Macrophages_C1QA	GSE149878	Up
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	3/32	20/8964	4.5211247095172995e-5	0.004430702215326953	0.0044259431366853565	EBP/SQLE/TM7SF2	3	C2_Epithelial_AT2_SFTPC	GSE149878	Down
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	3/32	43/8964	4.6288061937675847e-4	0.022681150349461165	0.022656788211599235	ACAT2/PLA2G1B/AGPAT2	3	C2_Epithelial_AT2_SFTPC	GSE149878	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	6/111	51/8964	3.6029526189435824e-5	3.6012042900325134e-4	2.833855189908059e-4	LPL/APOC1/APOE/LRP1/CYP27A1/LRPAP1	6	C5_Macrophages_RBM47	GSE149878	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	8/434	51/8964	0.002878611877143854	0.013133666689468835	0.009279735656582163	LRPAP1/VDAC1/VDAC2/LIPA/NPC2/APOE/APOC1/TSPO	8	C10_Macrophages_DOCK2	GSE157344_Lung	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	8/435	51/8964	0.0029198436545410655	0.015031787703007707	0.010984986848468336	TSPO/NPC2/APOC1/VDAC2/VDAC1/APOE/VAPA/LDLR	8	C19_Mast_CPA3	GSE157344_Lung	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/65	51/8964	0.005914056719081938	0.032287552898771665	0.025742551295008156	APOE/APOC1/TSPO	3	C5_Treg_CTLA4	GSE163005	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	5/74	51/8964	5.844578460619391e-5	0.0018800060714992373	0.0015585542561651709	APOE/CD36/PLTP/LIPA/APOC2	5	C6_Macrophages_MRC1	GSE163919	Up
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	2/36	20/8964	0.0028471603231601888	0.03843666436266255	0.032217866814707403	EBP/SQLE	2	C2_Epithelial_AT2_SFTPC	GSE163919	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	5/148	51/8964	0.0014617968185993838	0.015085743167945642	0.012063670587178072	APOC1/CYP27A1/LRP1/APOE/LPL	5	C9_CD8_Tex_CD69	GSE163919	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	4/36	51/8964	4.786828220581705e-5	8.773740782250235e-4	7.152998160967684e-4	APOE/CD36/PLTP/APOC1	4	C17_APC_NFKBIA	GSE171381	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/27	51/8964	4.6092685673831886e-4	0.011376682727695292	0.009454306975924066	PLTP/APOE/APOC1	3	C16_APC_MALAT1	GSE171381	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/49	51/8964	0.0026587376710133816	0.03766545033935624	0.03195149657270468	APOE/ABCA1/CD36	3	C8_Macrophages_FCGR3A	GSE171524	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	2/21	51/8964	0.006219770609090245	0.02976604505778903	0.02057668472180231	ABCA1/APOE	2	C9_Macrophages_MRC1	GSE171524	Up
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	2/37	20/8964	0.0030058367672509577	0.044267777844968645	0.036242625136231645	DHCR24/CYP24A1	2	C16_DC_CCSER1	GSE171524	Up
