ID	Description	geneID	status	celltype	Tissue	dataset	Dataset name
hsa04979	Cholesterol metabolism	APOE	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOC1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOC1	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOE	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOC1	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOE	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	TSPO	Down	C9_B_naive_CST3	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOE	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOC1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	TSPO	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	CYP27A1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOC1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	TSPO	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	NCEH1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
hsa04979	Cholesterol metabolism	APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
hsa00590	Arachidonic acid metabolism	HPGD	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
hsa00590	Arachidonic acid metabolism	AKR1C3	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
hsa00590	Arachidonic acid metabolism	ALOX5	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
hsa00590	Arachidonic acid metabolism	LTA4H	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
hsa04979	Cholesterol metabolism	LRPAP1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
